%MJZ Graph Standard
N(12957)_V(2)_E(1) , H&W[ 0 <= Tw(L(G)) <= 0] , B&B[ 0 <= Tw(L(G)) <= 0] , exTime= 0 .
N(327172)_V(2)_E(1) , H&W[ 0 <= Tw(L(G)) <= 0] , B&B[ 0 <= Tw(L(G)) <= 0] , exTime= 0 .
N(165706)_V(3)_E(2) , H&W[ 1 <= Tw(L(G)) <= 2] , B&B[ 1 <= Tw(L(G)) <= 1] , exTime= 0 .
N(3060)_V(4)_E(3) , H&W[ 1 <= Tw(L(G)) <= 2] , B&B[ 1 <= Tw(L(G)) <= 1] , exTime= 0 .
N(177680)_V(4)_E(3) , H&W[ 2 <= Tw(L(G)) <= 4] , B&B[ 2 <= Tw(L(G)) <= 2] , exTime= 0 .
N(621599)_V(4)_E(3) , H&W[ 2 <= Tw(L(G)) <= 4] , B&B[ 2 <= Tw(L(G)) <= 2] , exTime= 1 .
N(15200)_V(5)_E(4) , H&W[ 2 <= Tw(L(G)) <= 4] , B&B[ 2 <= Tw(L(G)) <= 2] , exTime= 0 .
N(177674)_V(5)_E(4) , H&W[ 2 <= Tw(L(G)) <= 4] , B&B[ 2 <= Tw(L(G)) <= 2] , exTime= 0 .
N(177677)_V(5)_E(4) , H&W[ 2 <= Tw(L(G)) <= 4] , B&B[ 2 <= Tw(L(G)) <= 2] , exTime= 0 .
N(16895)_V(6)_E(5) , H&W[ 2 <= Tw(L(G)) <= 4] , B&B[ 2 <= Tw(L(G)) <= 2] , exTime= 0 .
N(134031)_V(6)_E(5) , H&W[ 2 <= Tw(L(G)) <= 4] , B&B[ 2 <= Tw(L(G)) <= 2] , exTime= 1 .
N(156204)_V(6)_E(5) , H&W[ 2 <= Tw(L(G)) <= 4] , B&B[ 2 <= Tw(L(G)) <= 2] , exTime= 0 .
N(103769)_V(7)_E(7) , H&W[ 2 <= Tw(L(G)) <= 7] , B&B[ 2 <= Tw(L(G)) <= 2] , exTime= 0 .
N(630319)_V(8)_E(6) , H&W[ 3 <= Tw(L(G)) <= 5] , B&B[ 3 <= Tw(L(G)) <= 3] , exTime= 1 .
N(112212)_V(8)_E(7) , H&W[ 3 <= Tw(L(G)) <= 5] , B&B[ 3 <= Tw(L(G)) <= 3] , exTime= 0 .
N(115893)_V(8)_E(7) , H&W[ 2 <= Tw(L(G)) <= 4] , B&B[ 2 <= Tw(L(G)) <= 2] , exTime= 0 .
N(309956)_V(8)_E(7) , H&W[ 3 <= Tw(L(G)) <= 5] , B&B[ 3 <= Tw(L(G)) <= 3] , exTime= 1 .
N(358678)_V(8)_E(7) , H&W[ 2 <= Tw(L(G)) <= 4] , B&B[ 2 <= Tw(L(G)) <= 2] , exTime= 0 .
N(26331)_V(8)_E(8) , H&W[ 2 <= Tw(L(G)) <= 7] , B&B[ 2 <= Tw(L(G)) <= 2] , exTime= 1 .
N(75773)_V(8)_E(8) , H&W[ 2 <= Tw(L(G)) <= 7] , B&B[ 2 <= Tw(L(G)) <= 2] , exTime= 0 .
N(135976)_V(8)_E(8) , H&W[ 2 <= Tw(L(G)) <= 7] , B&B[ 2 <= Tw(L(G)) <= 2] , exTime= 1 .
N(227159)_V(8)_E(8) , H&W[ 2 <= Tw(L(G)) <= 7] , B&B[ 2 <= Tw(L(G)) <= 2] , exTime= 0 .
